,song-name,lyrics,release-year,genius-path
18,Classic Rock In Spring/Freeway In Mind,  hey how are ya you sure got a way of greeting a man might i add the perfect sun tan you're riding on your yellow schwinn while blasting classic rock in spring a couple of summer demons with battery recharging when you hear the bob seger song you know i'll be long gone cutting all my classes like a hit of acid hey how are ya like a dog on a telephone there is nonsense sustaining and staying on ya getting off you find yourself much better off feeling a bit less softer even but coughing up a lung and then some yeah you know i got your battery recharger right here and hey how are ya    i got a freeway in mind let go of my head walk down my line better be sure you'll be dead i got a trumpet i know where to dump it i'm glad that you came if the sound is the same  sometimes my reckless ways shock my self system for days now i'm channelling my faze in an anacin haze but it ain't gonna do me in i know when to dump it a hole in my way again i'll surely just jump it  there was a kid in a tree among the birds and the bees between bee hive and bird nest and i think you know the rest he wanted to be free with them but they weren't believing pecking and stinging him till he wasn't breathing but it ain't gonna do him in he'll just go to heaven not done just a dreamer of ten or eleven ,0,/Kurt-vile-classic-rock-in-spring-freeway-in-mind-lyrics
19,Cold Was the Wind,cold was the wind on my frozen face but i didn't mind cause i was long gone  cold was the wind upon my brow below that well you don't wanna know at all cold was the wind yeah  christmas in siberia with the little bitty case of the delirium tremens for some reason picture roger clemens but mike schmidt's more of the city i came with crossed my heart hoped to die stick a needle in my butter around your bread  cold was the wind on my naked brow below it well you don't wanna know at all cold wind blows  cold wind blows on my naked brow sun sits down on the sacred cow you better goddamn miss me when i'm gone 'cause god's gonna damn me up and down now wherever it is they're gonna give me the business whoever it is gonna miss my girls on the plane i'm drinkin red wine 'cause like everybody else i'm afraid to die did i mention that i'm afraid of dying think i heard my daughter crying so i pick her on up spin her around live it on up of what i found ,2018,/Kurt-vile-cold-was-the-wind-lyrics
20,Come Again, autumn come and winter gone then spring came all over the lawn i wanna die then be reborn like seasons come and go and come again   come again come again what was that you said come again come again cccome on down the world had better come around  i feel it in my chest i feel it in my soul the music and the whiskey and it's warm and nurturing in a weird way i feel it in my face right now when i sing and it makes me wanna cry and scream and cry and   come again come again what was that you said come again come again cccome on down could use a little help comin' around   autumn come and winter go then spring sprayed all over all we know then summer come in raging brought my blood right to a boil but even the heat too turned around and went but it was a long one   come again come again what was that you said come again come again cccome on down the world had better come around come again come again come again yeah come again,2018,/Kurt-vile-come-again-lyrics
22,Damn You,instrumental,0,/Kurt-vile-damn-you-lyrics
23,Dandelions,dandelions for my girls  i ain't lyin just bein' a little exotic you can blow on 'em or you can just hold em i ain't mindin' even when you're cryin' any which way you wanna go with 'em  i like the feeling of being sentimental and also a little mental i don't mind crying but i prefer them be tears of joy over rage anything over rage anything over mind and everything over age i'm over that when i look back at my  dandelions for my three girls dandelions for my three girls ,2020,/Kurt-vile-dandelions-lyrics
24,Dead Alive,you're telling me a good man is hard to find well what are you blind well never mind let's try and have a good time there was a war of independence if a man's a hindrance well you know where you've got a right to go  better take a breather till you're better till you're breathing till you stop sweating better take a breather till you stop sweating and knit me a sweater  you're telling me a good man is hard to find what was that you better rewind 'cause it's me mama i'm showing everybody a good time you're always looking for a few good men well here's one baby won't get wasted on a gun  better take a breather till you're better till you're breathing till you stop sweating better take a breather till you stop sweating and knit me a sweater  call me old dog when i'm gone but when i'm back it's always old man where you been so long where you been so long where you been so long ,2009,/Kurt-vile-dead-alive-lyrics
26,Don’t Get Cute,don't get cute you know i can't compute competing with a man in an alligator suit gonna slap that man looking so damn daft but can i use you i wanna be a success give me my style back home on the range is a baby who has my eyes  don't get cut you crazy little slut turning all the tricks in a twelveblock radius you may look cute but you puke all over it can i use you i wanna be a success give me my style back one mile back is my baby with the brown brown eyes  don't get cute don't get cute don't get cute  don't get caught you're a man not a fish and diving facefirst into a frozen lake baits with another don't you wanna be a success then show me some style 'cause with you the guitar is the one thing that you really make sing do you wanna be a success mmmm yeah i wanna be a success can i use you i wanna be a success give me my style,0,/Kurt-vile-dont-get-cute-lyrics
28,Early Dawnin,you can't tell me how to live my life but you can watch me do it if you want i think you think you might run the tight ship and congrats on that but in the morning i am recording that's the way it should be when that's the way it is i'm a man and i'm a mess see i go up and down around cause there's a whirlwind in my head just like a hurricane cause there's a honey and there's a comb there's a sugar and a cane it's my home and it's my house anyhow and it's time to go there early dawnin' early dawnin' early dawnin' early dawnin'  all my days closer to dying but i am is what it is there's been times guilty of crimes but i won't apologize i ain't got time all my nights further from livin' but i don't mind take my time we got heart we got soul i don't know what i've been told streets of heaven are overflowin' i don't know what i've been told streets of heaven the gorgeous thrones  early dawnin' early dawnin' early dawnin' early dawnin',0,/Kurt-vile-early-dawnin-lyrics
29,Feel My Pain, feel my pain and ill do yours were all banged up but whos keepin' score well im not are you theres a place out there that we can go and clean up our act in then come out squeaky clean so no one will know where we been   how can i sing to em straight from my heart babe its all i ever really wanted to do anyway from the start babe hear what im sayin' and feel my pain if thats alright for you   theres a fountain out there flowin' deep and wide somewhere deep in this town to jump in if you can swim and i never did much talkin' anyway ok thats a lie but that dont matter to you feel my pain and come inside or stay the course with a bulldozing force riding on a demonpossessed horse theres a place out there people go and never come back if youd care to say your prayers ,2013,/Kurt-vile-feel-my-pain-lyrics
30,Flyin (like a fast train), flyin' like a fast train i don't feel a thing 'til when pull into my station just crash and burn yeah playin' in the music room in my underwear feelin' fine and then my psyche crumble pell mell stumble i been bamboozled better watch out we got vampires lurkin'   flyin' like a fast train i don't feel a thing 'til when i pull into my station i just crash and burn oh oh yeah oh oh  flyin' acid flashback flyin' saucers black coffee pink lemonade from the faucet seein' dragons but they're so pretty baby come on let's go tear up the city naw think we better slow it down ooh ooh ooh ooh la la la   flyin' like a fast train i don't feel a thing 'til when i pull into my station i just crash and burn oh   cooped up creature of discomfort can't touch a thing so i take a walk 'round thе block then i come back and sing say what's wearing you down kid wеll try a little lot of everything   flyin' like a fast train i don't feel a thing 'til when i pull into my station i just crash and burn   yeah yeah mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm mmm ,2022,/Kurt-vile-flyin-like-a-fast-train-lyrics
